title,artist,duration_seconds,youtube_id,genres
# ROCK (15 songs)
Bohemian Rhapsody,Queen,5:59,fJ9rUzIMcZQ,rock
Don't Stop Believin',Journey,4:10,1k8craCGpgs,rock
Sweet Child O' Mine,Guns N' Roses,5:02,1w7OgIMMRc4,rock
Stairway to Heaven,Led Zeppelin,8:02,QkF3oxziUI4,rock
Hotel California,Eagles,6:31,BciS5krYL80,rock
Free Bird,Lynyrd Skynyrd,9:03,D0W1v0kOELA,rock
We Will Rock You,Queen,2:02,TXGbhniTBrU,rock
Thunder,Imagine Dragons,3:24,4AqjqOqNrjw,rock
Livin' on a Prayer,Bon Jovi,4:08,lDK9QqIzhwk,rock
Dream On,Aerosmith,4:22,hHRNSeuvzlM,rock
Eye of the Tiger,Survivor,4:04,btPJPFnesV4,rock
Smells Like Teen Spirit,Nirvana,4:38,hTWKbfoikeg,alternative rock


# POP (15 songs)
Billie Jean,Michael Jackson,4:55,Zi_XLOBDo_Y,pop
Thriller,Michael Jackson,5:57,rLMr9CsJHME,pop
Like a Prayer,Madonna,4:03,JaB-JUaeVpA,pop
Beat It,Michael Jackson,4:18,8fO8jVZ3T9g,pop
Material Girl,Madonna,4:00,3j4jx9jGei4,pop
I Want It That Way,Backstreet Boys,3:31,qjlVAsvQLM8,pop
...Baby One More Time,Britney Spears,3:29,kAJz7c97Cyo,pop
Uptown Funk,Mark Ronson ft. Bruno Mars,4:30,OPf0YbXqDm0,pop
Shape of You,Ed Sheeran,4:23,JGwWNGJdvx8,pop
Blinding Lights,The Weeknd,3:20,XwxLwG2_Sxk,pop
Anti-Hero,Taylor Swift,3:23,XqN2qFvY64U,pop
As It Was,Harry Styles,2:45,H5v3kku4y6Q,pop
Bad Guy,Billie Eilish,3:14,4-TbQnONe_w,pop
Watermelon Sugar,Harry Styles,2:53,7-x3uD5z1bQ,pop
Levitating,Dua Lipa,3:50,TUVcZfQe-Kw,pop
Sweet Dreams (Are Made of This),Eurythmics,3:34,qeMFqkcPYcg,electronic


# HIP-HOP (15 songs)
Lose Yourself,Eminem,5:23,_Yhyp-_hX2s,hip-hop
HUMBLE.,Kendrick Lamar,3:03,tvTRZJ-4EyI,hip-hop
In Da Club,50 Cent,4:07,5qm8PH4xAss,hip-hop
Gold Digger,Kanye West ft. Jamie Foxx,3:41,6vwNcNOTVzY,hip-hop
Till I Collapse,Eminem,4:58,ytQ5CYE1VZw,hip-hop
Stan,Eminem ft. Dido,6:44,gOMhN-hfMtY,hip-hop
Old Town Road,Lil Nas X,2:37,r7qovpFAGrQ,hip-hop
Bodak Yellow,Cardi B,3:53,PEGccV-NOm8,hip-hop
Candy Shop,50 Cent,3:44,SRcnnId15BA,hip-hop
Smack That,Akon ft. Eminem,4:03,bKDdT_nyP54,hip-hop
Black and Yellow,Wiz Khalifa,3:51,UePtoxDhJSw,hip-hop
Not Like Us,Kendrick Lamar,4:33,T6eK-2OQtew,hip-hop

# ELECTRONIC (15 songs)
Around the World,Daft Punk,4:01,ARfJ55bUAw0,electronic
One More Time,Daft Punk,5:21,FGBhQbmPwH8,electronic
Animals,Martin Garrix,5:04,DuFUtL8zUAk,electronic
What Does The Fox Say,Ylvis - The Fox,3:44,jofNR_WkoCE,electronic
Bangarang,Skrillex,3:38,YJVmu6yttiw,electronic
Closer,The Chainsmokers ft. Halsey,4:21,PT2_F-1esPk,electronic
Don't You Worry Child,Swedish House Mafia,5:34,1y6smkh6c-0,electronic
Crazy Frog,Axel F,2:51,k85mRPqvMbE,electronic
I Took A Pill In Ibiza,Mike Posner,3:56,u3VFzuUiTGw,electronic
Where Them Girls At,David Guetta ft. Flo Rida & Nicki Minaj,3:30,pESsKRCg6pQ,electronic
SKIBIDI, Little Big,3:12,mDFBTdToRmw,electronic


# SOUNDTRACKS (15 songs)
My Heart Will Go On,Titanic,4:43,F2RnxZnubCM,soundtracks
I Will Always Love You,The Bodyguard,4:34,3JWTaaS7LdU,soundtracks
Footloose,Footloose,2:55,ltrMfT4Qz5Y,soundtracks
Eye of the Tiger,Rocky III,4:04,btPJPFnesV4,soundtracks
Danger Zone,Top Gun,3:45,siwpn14IE7E,soundtracks
I Will Survive,The Adventures of Priscilla Queen of the Desert,4:57,gYkACVDFmeg,soundtracks
Stayin' Alive,Saturday Night Fever,4:09,fNFzfwLM72c,soundtracks
Can't Stop the Feeling!,Trolls,4:45,ru0K8uYEZWw,soundtracks
Let It Go,Frozen,4:02,L0MK7qz13bU,soundtracks
